Generated At,Relative Path,File Name,Directory,Language,Total Lines,Code Lines,Comment Lines,Blank Lines,File Size (bytes)
2025-11-09T17:41:06.520Z,docs\file-watching.md,file-watching.md,docs,Markdown,450,359,0,91,11692
2025-11-09T17:41:06.520Z,docs\development-setup.md,development-setup.md,docs,Markdown,485,394,0,91,12625
2025-11-09T17:41:06.520Z,docs\design-patterns.md,design-patterns.md,docs,Markdown,530,419,0,111,15768
2025-11-09T17:41:06.520Z,docs\leading-slash-fix.md,leading-slash-fix.md,docs,Markdown,47,37,0,10,1982
2025-11-09T17:41:06.520Z,src\test\setup.ts,setup.ts,src\test,TypeScript,51,40,5,6,2139
2025-11-09T17:41:06.520Z,docs\providers.md,providers.md,docs,Markdown,770,601,0,169,24877
2025-11-09T17:41:06.520Z,docs\webview-interface.md,webview-interface.md,docs,Markdown,456,380,0,76,16321
2025-11-09T17:41:06.520Z,docs\vscode-api-usage.md,vscode-api-usage.md,docs,Markdown,660,539,0,121,17865
2025-11-09T17:41:06.520Z,docs\typescript-interfaces.md,typescript-interfaces.md,docs,Markdown,497,403,0,94,13892
2025-11-09T17:41:06.520Z,docs\testing.md,testing.md,docs,Markdown,594,475,0,119,20569
2025-11-09T17:41:06.520Z,docs\services.md,services.md,docs,Markdown,472,394,0,78,15788
2025-11-09T17:41:06.520Z,docs\release-process.md,release-process.md,docs,Markdown,339,270,0,69,7702
2025-11-09T17:41:06.520Z,src\services\exportAllService.ts,exportAllService.ts,src\services,TypeScript,100,79,10,11,3818
2025-11-09T17:41:06.520Z,src\test\suite\debugSimple.test.ts,debugSimple.test.ts,src\test\suite,TypeScript,47,35,3,9,1423
2025-11-09T17:41:06.520Z,src\services\debugService.ts,debugService.ts,src\services,TypeScript,395,296,50,49,13254
2025-11-09T17:41:06.520Z,src\test\suite\decoratorIntegration.test.ts,decoratorIntegration.test.ts,src\test\suite,TypeScript,613,456,58,99,31516
2025-11-09T17:41:06.520Z,src\services\webViewReportService.ts,webViewReportService.ts,src\services,TypeScript,985,772,80,133,45651
2025-11-09T17:41:06.520Z,src\test\suite\index.ts,index.ts,src\test\suite,TypeScript,48,39,3,6,1261
2025-11-09T17:41:06.520Z,src\test\suite\inclusionPatterns.test.ts,inclusionPatterns.test.ts,src\test\suite,TypeScript,250,181,21,48,12557
2025-11-09T17:41:06.520Z,src\test\suite\inheritanceLogic.test.ts,inheritanceLogic.test.ts,src\test\suite,TypeScript,457,337,49,71,23903
2025-11-09T17:41:06.520Z,src\services\lineThresholdService.ts,lineThresholdService.ts,src\services,TypeScript,179,149,4,26,6914
2025-11-09T17:41:06.520Z,src\test\suite\htmlIntegration.test.ts,htmlIntegration.test.ts,src\test\suite,TypeScript,396,296,33,67,19542
2025-11-09T17:41:06.520Z,src\services\workspaceDatabaseService.ts,workspaceDatabaseService.ts,src\services,TypeScript,1060,790,125,145,46533
2025-11-09T17:41:06.520Z,src\services\lineCounter.ts,lineCounter.ts,src\services,TypeScript,649,504,51,94,27935
2025-11-09T17:41:06.520Z,src\test\suite\fileWatcher.test.ts,fileWatcher.test.ts,src\test\suite,TypeScript,233,159,22,52,10248
2025-11-09T17:41:06.520Z,src\test\suite\lineThresholdService.test.ts,lineThresholdService.test.ts,src\test\suite,TypeScript,531,408,22,101,22933
2025-11-09T17:41:06.520Z,src\services\lineCountCache.ts,lineCountCache.ts,src\services,TypeScript,173,142,9,22,7147
2025-11-09T17:41:06.520Z,src\test\suite\exclusionIntegration.test.ts,exclusionIntegration.test.ts,src\test\suite,TypeScript,102,68,15,19,4987
2025-11-09T17:41:06.520Z,src\services\jsonGenerator.ts,jsonGenerator.ts,src\services,TypeScript,79,67,3,9,3385
2025-11-09T17:41:06.520Z,src\test\suite\edgeCases.test.ts,edgeCases.test.ts,src\test\suite,TypeScript,372,278,25,69,16941
2025-11-09T17:41:06.520Z,src\services\workspaceSettingsService.ts,workspaceSettingsService.ts,src\services,TypeScript,693,541,67,85,32548
2025-11-09T17:41:06.520Z,src\services\htmlGenerator.ts,htmlGenerator.ts,src\services,TypeScript,407,307,48,52,19797
2025-11-09T17:41:06.520Z,src\test\suite\pathBasedSettingsService.test.ts,pathBasedSettingsService.test.ts,src\test\suite,TypeScript,290,201,34,55,13193
2025-11-09T17:41:06.520Z,src\services\csvGenerator.ts,csvGenerator.ts,src\services,TypeScript,147,123,6,18,6459
2025-11-09T17:41:06.520Z,src\test\suite\debugService.test.ts,debugService.test.ts,src\test\suite,TypeScript,505,359,31,115,20216
2025-11-09T17:41:06.520Z,src\test\mocks\vscode-mock.ts,vscode-mock.ts,src\test\mocks,TypeScript,464,374,26,64,17643
2025-11-09T17:41:06.520Z,src\test\suite\workspaceSettingsService.test.ts,workspaceSettingsService.test.ts,src\test\suite,TypeScript,293,204,32,57,13435
2025-11-09T17:41:06.520Z,src\test\suite\workspaceDatabaseService.test.ts,workspaceDatabaseService.test.ts,src\test\suite,TypeScript,764,507,78,179,36258
2025-11-09T17:41:06.520Z,src\test\suite\webViewReportService.test.ts,webViewReportService.test.ts,src\test\suite,TypeScript,572,427,58,87,22733
2025-11-09T17:41:06.520Z,src\test\suite\patternManagement.test.ts,patternManagement.test.ts,src\test\suite,TypeScript,479,353,47,79,24277
2025-11-09T17:41:06.520Z,src\test\suite\patternHandler.test.ts,patternHandler.test.ts,src\test\suite,TypeScript,151,122,10,19,6515
2025-11-09T17:41:06.520Z,src\services\xmlGenerator.ts,xmlGenerator.ts,src\services,TypeScript,89,76,3,10,3706
2025-11-09T17:41:06.520Z,src\test\suite\dataConsistency.test.ts,dataConsistency.test.ts,src\test\suite,TypeScript,94,63,13,18,4874
2025-11-09T17:41:06.520Z,src\services\pathBasedSettingsService.ts,pathBasedSettingsService.ts,src\services,TypeScript,429,330,47,52,19595
2025-11-09T17:41:06.520Z,src\test\suite\contextMenu.test.ts,contextMenu.test.ts,src\test\suite,TypeScript,120,79,17,24,5463
2025-11-09T17:41:06.520Z,src\test\suite\configWatcher.test.ts,configWatcher.test.ts,src\test\suite,TypeScript,104,65,18,21,4352
2025-11-09T17:41:06.520Z,docs\README.md,README.md,docs,Markdown,124,96,0,28,6150
2025-11-09T17:41:06.520Z,docs\decorator-refresh-fix.md,decorator-refresh-fix.md,docs,Markdown,109,81,0,28,4752
2025-11-09T17:41:06.520Z,src\test\runTest.ts,runTest.ts,src\test,TypeScript,48,38,5,5,2006
2025-11-09T17:41:06.520Z,docs\configuration.md,configuration.md,docs,Markdown,758,617,0,141,21209
2025-11-09T17:41:06.520Z,docs\commands.md,commands.md,docs,Markdown,577,447,0,130,16846
